user_id,expedition_id
29509787,133796508
29509787,133796186
29509787,133795923
29509787,133795868
29509787,133795849
29509787,133795792
29509787,133795321
29387394,133795299
29509787,133795207
29387394,133795144
29509787,133795118
29509787,133795108
29387394,133795071
29509787,133795025
29509787,133794909
29387394,133794884
29509787,133794568
29509787,133794420
29509787,133794408
29509787,133794362
29509787,133794292
29509787,133794144
29509787,133794092
29509787,133793858
29509787,133793750
29509787,133789789
29387394,133789456
29387394,133789361
29387394,133789068
29509787,133788968
29387394,133788927
29509787,133788767
29387394,133788551
29387394,133788340
29387394,133788182
29387394,133787796
29387394,133787775
29387394,133787569
29387394,133787487
29387394,133787230
29509787,133785600
29509787,133785484
29509787,133785287
29509787,133785240
29509787,133785222
29509787,133785203
29387394,133785057
29387394,133785018
29387394,133784981
29387394,133784954
29387394,133784734
29387394,133784674
29387394,133784654
29387394,133784545
29387394,133784517
29509787,133783483
29509787,133783435
29509787,133783284
29509787,133783265
29509787,133783160
29509787,133781716
29509787,133781632
29509787,133781473
29509787,133781259
29509787,133781093
29509787,133780948
29509787,133780866
29509787,133780854
29509787,133780744
29509787,133780561
29509787,133780089
29509787,133779325
29387394,133779121
29387394,133779090
29387394,133778547
29509787,133778524
29509787,133778289
29387394,133778263
29387394,133778250
29509787,133778119
29509787,133777991
29387394,133777977
29387394,133777916
29509787,133777900
29509787,133777748
29387394,133777727
29509787,133777594
29387394,133777579
29509787,133777444
29387394,133777425
29387394,133777193
29509787,133777177
29387394,133776951
29509787,133776935
29387394,133776858
29509787,133776203
29509787,133774491
29509787,133774455
29509787,133774431
29509787,133774356
29509787,133773616
29509787,133773445
29509787,133766864
29509787,133766434
29509787,133766155
29509787,133766146
29509787,133765403
29509787,133765332
29509787,133765105
29509787,133762641
29509787,133762235
29509787,133761582
29509787,133761542
29509787,133761108
29509787,133761103
29509787,133760926
29509787,133760605
29509787,133760535
29509787,133760446
29509787,133759769
29509787,133759718
29509787,133758954
29509787,133758595
29509787,133758498
29509787,133758440
29509787,133758287
29509787,133758266
29509787,133758231
29509787,133758222
29509787,133758176
29509787,133758142
29509787,133758115
29509787,133758058
29509787,133753670
29387394,133753103
29509787,133753089
29509787,133752938
29509787,133752908
29509787,133752905
29387394,133752817
29509787,133752749
29509787,133752625
29509787,133752599
29387394,133752563
29509787,133752169
29387394,133752062
29509787,133751398
29509787,133750457
29509787,133750449
29509787,133750292
29387394,133750231
29509787,133749388
29509787,133748808
29509787,133748765
29509787,133748618
29509787,133748589
29387394,133747944
29387394,133747757
29387394,133747634
29387394,133747515
29387394,133747453
29387394,133747314
29387394,133747204
29509787,133743193
29509787,133742327
29509787,133740731
29509787,133737440
29509787,133737376
29387394,133737364
